maker-22-augustus-gene-57.1-mRNA-1	PR01405
augustus_masked-376-processed-gene-6.1-mRNA-1	PR00205,PR01217
maker-249-augustus-gene-2.4-mRNA-1	PR00387
maker-82-augustus-gene-10.1-mRNA-1	PR00474
maker-54-augustus-gene-97.64-mRNA-1	PR00019
maker-11-snap-gene-42.9-mRNA-1	PR01161,PR01163
maker-12-augustus-gene-55.3-mRNA-1	PR00401
maker-42-snap-gene-8.1-mRNA-1	PR00759
maker-112370-augustus-gene-0.1-mRNA-1	PR00756
augustus_masked-219-processed-gene-19.33-mRNA-1	PR00700
maker-92-snap-gene-1.17-mRNA-1	PR01161,PR01224
maker-473-augustus-gene-4.2-mRNA-1	PR01265
maker-146-snap-gene-20.9-mRNA-1	PR00176,PR01195
maker-243-augustus-gene-7.13-mRNA-1	PR00385,PR00463,PR01684
maker-283-snap-gene-0.15-mRNA-1	PR00415
maker-113012-augustus-gene-11.15-mRNA-1	PR00109
augustus_masked-69-processed-gene-1.0-mRNA-1	PR00237,PR01157
augustus_masked-366-processed-gene-12.1-mRNA-1	PR01932
augustus_masked-113162-processed-gene-0.5-mRNA-1	PR00463
maker-219-augustus-gene-13.8-mRNA-1	PR01076
maker-49-augustus-gene-28.11-mRNA-1	PR00449
augustus_masked-31-processed-gene-32.3-mRNA-1	PR01635
maker-13-snap-gene-4.7-mRNA-1	PR01415
augustus_masked-21-processed-gene-51.4-mRNA-1	PR00014
maker-295-augustus-gene-26.0-mRNA-1	PR00320
augustus_masked-34-processed-gene-31.10-mRNA-1	PR00169,PR01491,PR01581
maker-59-augustus-gene-162.6-mRNA-1	PR00304
augustus_masked-410-processed-gene-0.13-mRNA-1	PR00019
snap_masked-241-processed-gene-4.16-mRNA-1	PR00237,PR00641,PR00657
snap_masked-126-processed-gene-6.8-mRNA-1	PR00579
maker-186-augustus-gene-1.4-mRNA-1	PR00625
maker-1-augustus-gene-144.10-mRNA-1	PR00320
maker-241-augustus-gene-1.0-mRNA-1	PR00978
maker-67-augustus-gene-10.5-mRNA-1	PR00405
augustus_masked-189-processed-gene-0.21-mRNA-1	PR00783
maker-39-snap-gene-119.20-mRNA-1	PR00475
maker-4-augustus-gene-333.11-mRNA-1	PR00047,PR00398,PR00546
augustus_masked-436-processed-gene-7.25-mRNA-1	PR02069
maker-5-augustus-gene-73.9-mRNA-1	PR00783
maker-59-augustus-gene-189.11-mRNA-1	PR00800
maker-1-augustus-gene-147.1-mRNA-1	PR00237,PR00358,PR00640
maker-10-augustus-gene-34.2-mRNA-1	PR01090
maker-38-augustus-gene-11.1-mRNA-1	PR00449
augustus_masked-220-processed-gene-50.19-mRNA-1	PR00206,PR01138
augustus_masked-323-processed-gene-62.31-mRNA-1	PR00081
maker-45-snap-gene-19.16-mRNA-1	PR02044
maker-146-snap-gene-20.7-mRNA-1	PR00176
augustus_masked-1-processed-gene-120.12-mRNA-1	PR00786
maker-153-augustus-gene-25.19-mRNA-1	PR00449
augustus_masked-285-processed-gene-0.6-mRNA-1	PR00413
maker-16-augustus-gene-5.0-mRNA-1	PR00449
augustus_masked-3-processed-gene-32.0-mRNA-1	PR00131
augustus_masked-29-processed-gene-34.3-mRNA-1	PR02032
maker-34-augustus-gene-26.11-mRNA-1	PR00700,PR01778
maker-29-augustus-gene-49.1-mRNA-1	PR00193
maker-323-augustus-gene-60.16-mRNA-1	PR00010
augustus_masked-58-processed-gene-5.2-mRNA-1	PR00237,PR00644,PR00649
snap_masked-67-processed-gene-2.13-mRNA-1	PR00625
maker-12-snap-gene-76.14-mRNA-1	PR00390
maker-112971-augustus-gene-0.16-mRNA-1	PR01186
maker-2-augustus-gene-133.8-mRNA-1	PR00237,PR01064,PR01522
maker-4-augustus-gene-336.17-mRNA-1	PR00328
maker-87-augustus-gene-11.1-mRNA-1	PR00193
maker-367-snap-gene-0.11-mRNA-1	PR00476
maker-1-snap-gene-240.2-mRNA-1	PR00001,PR00010,PR00722
maker-209-snap-gene-2.30-mRNA-1	PR00213
augustus_masked-58-processed-gene-1.5-mRNA-1	PR00050
maker-6-snap-gene-74.2-mRNA-1	PR00320
maker-229-snap-gene-9.11-mRNA-1	PR00205
maker-1-snap-gene-134.7-mRNA-1	PR00114
augustus_masked-220-processed-gene-17.0-mRNA-1	PR00237,PR00857
maker-39-augustus-gene-121.1-mRNA-1	PR00368,PR00469
augustus_masked-11-processed-gene-84.1-mRNA-1	PR00169,PR01491,PR01492
maker-32-snap-gene-25.4-mRNA-1	PR00453,PR01185
maker-86-augustus-gene-5.17-mRNA-1	PR00722
augustus_masked-28-processed-gene-2.26-mRNA-1	PR00114
maker-12-snap-gene-37.28-mRNA-1	PR00302
maker-64-augustus-gene-37.3-mRNA-1	PR00385,PR00463
augustus_masked-228-processed-gene-1.0-mRNA-1	PR01078
maker-49-snap-gene-36.3-mRNA-1	PR00504
maker-3-augustus-gene-98.12-mRNA-1	PR01653
maker-282-augustus-gene-3.21-mRNA-1	PR01179,PR01182
maker-398-snap-gene-9.21-mRNA-1	PR00011
maker-114-augustus-gene-3.26-mRNA-1	PR00328
augustus_masked-364-processed-gene-0.10-mRNA-1	PR00391
maker-472-augustus-gene-7.0-mRNA-1	PR00421
maker-25-snap-gene-141.3-mRNA-1	PR00196,PR01808
snap_masked-291-processed-gene-15.34-mRNA-1	PR01161,PR01162
snap_masked-257223-processed-gene-0.1-mRNA-1	PR00109
augustus_masked-8-processed-gene-255.9-mRNA-1	PR01161,PR01519
maker-7-augustus-gene-90.2-mRNA-1	PR00449
snap_masked-323-processed-gene-51.18-mRNA-1	PR01230
snap_masked-84-processed-gene-3.22-mRNA-1	PR00632
augustus_masked-398-processed-gene-18.5-mRNA-1	PR00253,PR01722
augustus_masked-318-processed-gene-39.12-mRNA-1	PR01989
augustus_masked-1-processed-gene-314.1-mRNA-1	PR00252
augustus_masked-32-processed-gene-118.8-mRNA-1	PR01415
snap_masked-100435-processed-gene-0.1-mRNA-1	PR01407
augustus_masked-32-processed-gene-104.3-mRNA-1	PR00237,PR01152,PR01428
maker-21-augustus-gene-58.8-mRNA-1	PR00452,PR00499
maker-21-snap-gene-26.6-mRNA-1	PR01250
maker-236-snap-gene-4.8-mRNA-1	PR00452,PR00499
maker-28-augustus-gene-6.35-mRNA-1	PR00449
maker-7-augustus-gene-122.14-mRNA-1	PR00024,PR00025
maker-372-augustus-gene-2.1-mRNA-1	PR00177
maker-59-snap-gene-141.1-mRNA-1	PR02055,PR02057
augustus_masked-87-processed-gene-1.10-mRNA-1	PR00171,PR01192
augustus_masked-27-processed-gene-29.8-mRNA-1	PR00619
maker-7-augustus-gene-226.5-mRNA-1	PR00385,PR00465
maker-45-snap-gene-19.17-mRNA-1	PR01217
maker-245245-snap-gene-0.4-mRNA-1	PR01185
maker-0start-augustus-gene-320.9-mRNA-1	PR00081
maker-394-snap-gene-1.24-mRNA-1	PR00449
maker-428-snap-gene-2.7-mRNA-1	PR01161,PR01164
maker-4-augustus-gene-316.11-mRNA-1	PR00756
maker-4-snap-gene-159.2-mRNA-1	PR00024,PR00031
augustus_masked-323-processed-gene-6.5-mRNA-1	PR00503
augustus_masked-27-processed-gene-51.9-mRNA-1	PR00248,PR00593,PR01053
maker-150-snap-gene-1.12-mRNA-1	PR00391
maker-185-augustus-gene-1.2-mRNA-1	PR00387
maker-12-snap-gene-74.10-mRNA-1	PR01349,PR01893
maker-436-snap-gene-3.17-mRNA-1	PR00205
maker-106-snap-gene-10.2-mRNA-1	PR00385,PR00463
maker-6-snap-gene-14.18-mRNA-1	PR00153
augustus_masked-32-processed-gene-211.6-mRNA-1	PR00266
maker-0start-augustus-gene-127.7-mRNA-1	PR00205,PR01818,PR01820
maker-12-augustus-gene-111.2-mRNA-1	PR00449
maker-326-augustus-gene-16.8-mRNA-1	PR01407
snap_masked-444-processed-gene-5.31-mRNA-1	PR00756
maker-207-snap-gene-7.37-mRNA-1	PR00834
maker-439-snap-gene-2.0-mRNA-1	PR00007
augustus_masked-422-processed-gene-29.9-mRNA-1	PR00415
maker-158-snap-gene-32.15-mRNA-1	PR00041
snap_masked-22-processed-gene-40.32-mRNA-1	PR00709
maker-18-augustus-gene-115.13-mRNA-1	PR00449
snap_masked-34-processed-gene-31.19-mRNA-1	PR01498
maker-109-augustus-gene-38.1-mRNA-1	PR00053
snap_masked-87-processed-gene-11.6-mRNA-1	PR00704
maker-12-snap-gene-75.39-mRNA-1	PR00385,PR00463
maker-49-augustus-gene-28.8-mRNA-1	PR00722
maker-2-snap-gene-140.10-mRNA-1	PR00669
maker-25-snap-gene-117.18-mRNA-1	PR00179,PR01174
maker-99-snap-gene-72.16-mRNA-1	PR01039
maker-206-augustus-gene-1.34-mRNA-1	PR00449
maker-38-augustus-gene-5.12-mRNA-1	PR00019
maker-130-augustus-gene-2.15-mRNA-1	PR00024
maker-6-snap-gene-177.3-mRNA-1	PR00253,PR01160
snap_masked-372-processed-gene-8.38-mRNA-1	PR01263
maker-223-snap-gene-3.11-mRNA-1	PR00320
maker-3-snap-gene-11.7-mRNA-1	PR00024,PR00031
maker-171-snap-gene-16.19-mRNA-1	PR01638
maker-84-augustus-gene-2.3-mRNA-1	PR00742
augustus_masked-241-processed-gene-4.41-mRNA-1	PR01248
augustus_masked-0start-processed-gene-557.12-mRNA-1	PR01694,PR01705
maker-153-snap-gene-62.0-mRNA-1	PR00249
maker-6-augustus-gene-193.0-mRNA-1	PR00119
maker-161623-augustus-gene-0.5-mRNA-1	PR01764
maker-343-augustus-gene-28.1-mRNA-1	PR00237,PR00238
snap_masked-447-processed-gene-0.11-mRNA-1	PR00834
augustus_masked-111735-processed-gene-0.3-mRNA-1	PR00245
snap_masked-139-processed-gene-0.6-mRNA-1	PR00791
augustus_masked-8-processed-gene-7.5-mRNA-1	PR00237,PR00645,PR00657
maker-18-augustus-gene-107.15-mRNA-1	PR00193
maker-134-augustus-gene-1.24-mRNA-1	PR02078
snap_masked-7-processed-gene-122.38-mRNA-1	PR00024
maker-110684-augustus-gene-0.3-mRNA-1	PR00081
augustus_masked-23-processed-gene-22.37-mRNA-1	PR00237,PR01157
snap_masked-440-processed-gene-0.41-mRNA-1	PR00389
maker-112598-augustus-gene-0.2-mRNA-1	PR00789
maker-9-augustus-gene-17.7-mRNA-1	PR01503
augustus_masked-158-processed-gene-52.2-mRNA-1	PR00387
maker-3-snap-gene-212.0-mRNA-1	PR02038
maker-134-augustus-gene-1.23-mRNA-1	PR01883
maker-220-augustus-gene-15.16-mRNA-1	PR00785
maker-12-augustus-gene-3.15-mRNA-1	PR00014
maker-112514-augustus-gene-1.4-mRNA-1	PR01349
maker-68-augustus-gene-56.1-mRNA-1	PR00756
maker-1-snap-gene-316.5-mRNA-1	PR00633
augustus_masked-323-processed-gene-99.14-mRNA-1	PR00169,PR01492
augustus_masked-8-processed-gene-80.1-mRNA-1	PR00047,PR00398,PR00543
maker-1-augustus-gene-182.3-mRNA-1	PR00320
maker-9-augustus-gene-115.3-mRNA-1	PR00053
augustus_masked-72-processed-gene-8.3-mRNA-1	PR00053
maker-64-augustus-gene-19.21-mRNA-1	PR00980
maker-113274-snap-gene-0.20-mRNA-1	PR00193
maker-72-snap-gene-11.2-mRNA-1	PR00320
maker-62-augustus-gene-7.0-mRNA-1	PR00080,PR00081
snap_masked-253-processed-gene-0.9-mRNA-1	PR00024
maker-6-augustus-gene-107.4-mRNA-1	PR00267
maker-99-augustus-gene-60.3-mRNA-1	PR02040
maker-172-augustus-gene-6.0-mRNA-1	PR00503
maker-153-snap-gene-53.3-mRNA-1	PR00625
maker-25-augustus-gene-125.9-mRNA-1	PR00380
augustus_masked-488-processed-gene-1.16-mRNA-1	PR02094
maker-15-snap-gene-0.2-mRNA-1	PR00237
snap_masked-2-processed-gene-240.0-mRNA-1	PR00363,PR00406
augustus_masked-46-processed-gene-4.13-mRNA-1	PR01077
maker-13-augustus-gene-46.5-mRNA-1	PR00700
maker-218-snap-gene-1.23-mRNA-1	PR00151
maker-249-augustus-gene-2.5-mRNA-1	PR00178
maker-218-snap-gene-3.6-mRNA-1	PR00119,PR00121
augustus_masked-145-processed-gene-2.11-mRNA-1	PR00205
snap_masked-44-processed-gene-11.25-mRNA-1	PR01448
augustus_masked-110548-processed-gene-0.3-mRNA-1	PR00475
maker-0start-snap-gene-399.4-mRNA-1	PR00237,PR00751,PR01846
maker-21-augustus-gene-43.8-mRNA-1	PR00401
maker-22-augustus-gene-40.13-mRNA-1	PR00709
maker-398-snap-gene-4.11-mRNA-1	PR01217,PR01415
maker-29-snap-gene-1.9-mRNA-1	PR00612,PR00815
maker-55-augustus-gene-16.22-mRNA-1	PR00305
maker-38-augustus-gene-20.3-mRNA-1	PR01937
augustus_masked-12-processed-gene-18.14-mRNA-1	PR00401
maker-276-snap-gene-1.11-mRNA-1	PR00503
augustus_masked-106523-processed-gene-0.1-mRNA-1	PR00237,PR00245
maker-18-augustus-gene-20.0-mRNA-1	PR00019
snap_masked-275-processed-gene-2.20-mRNA-1	PR00019
maker-295-augustus-gene-31.21-mRNA-1	PR00449
maker-4-snap-gene-308.2-mRNA-1	PR00401
augustus_masked-112833-processed-gene-0.8-mRNA-1	PR00205
maker-435-augustus-gene-2.27-mRNA-1	PR00449
snap_masked-323-processed-gene-99.2-mRNA-1	PR00169,PR01491
maker-12-snap-gene-74.11-mRNA-1	PR01893
maker-263-augustus-gene-4.10-mRNA-1	PR00177
maker-6-augustus-gene-50.6-mRNA-1	PR00452,PR00499
snap_masked-7-processed-gene-2.21-mRNA-1	PR00176
maker-13-augustus-gene-14.18-mRNA-1	PR00370,PR01121
maker-280-snap-gene-0.21-mRNA-1	PR01407
maker-99-snap-gene-105.9-mRNA-1	PR00780
maker-364-augustus-gene-0.18-mRNA-1	PR00449
maker-25-snap-gene-6.4-mRNA-1	PR01301
maker-4-augustus-gene-198.10-mRNA-1	PR00929,PR00930
augustus_masked-13-processed-gene-133.5-mRNA-1	PR00249,PR01444
maker-42-augustus-gene-11.9-mRNA-1	PR01185
augustus_masked-87-processed-gene-9.7-mRNA-1	PR00019
maker-410-augustus-gene-0.24-mRNA-1	PR01349
snap_masked-208-processed-gene-0.9-mRNA-1	PR00401
augustus_masked-99-processed-gene-119.16-mRNA-1	PR00237,PR01564
augustus_masked-245600-processed-gene-0.8-mRNA-1	PR00009
maker-422-augustus-gene-4.16-mRNA-1	PR00196,PR00198
maker-295-snap-gene-51.35-mRNA-1	PR00328
augustus_masked-101-processed-gene-0.10-mRNA-1	PR01320,PR01327
augustus_masked-2-processed-gene-255.0-mRNA-1	PR00237,PR00362,PR00522
maker-283-snap-gene-4.3-mRNA-1	PR00385,PR00463,PR01686
maker-2-snap-gene-250.0-mRNA-1	PR00274
maker-197-augustus-gene-20.38-mRNA-1	PR00063
snap_masked-237-processed-gene-1.16-mRNA-1	PR01186
maker-64-augustus-gene-8.0-mRNA-1	PR01095,PR01333
maker-268-augustus-gene-10.24-mRNA-1	PR00205
maker-418-augustus-gene-2.22-mRNA-1	PR00390
augustus_masked-229-processed-gene-8.5-mRNA-1	PR00237,PR00534,PR00536
augustus_masked-251026-processed-gene-0.0-mRNA-1	PR01705,PR01857
augustus_masked-436-processed-gene-0.19-mRNA-1	PR00205
maker-0start-augustus-gene-442.2-mRNA-1	PR01884
maker-20-snap-gene-10.6-mRNA-1	PR00790
augustus_masked-99-processed-gene-124.0-mRNA-1	PR01333,PR01588
maker-153-augustus-gene-25.17-mRNA-1	PR00320
maker-109-augustus-gene-44.8-mRNA-1	PR00420
maker-398-augustus-gene-15.9-mRNA-1	PR00177
maker-444-snap-gene-4.6-mRNA-1	PR00661,PR00935
maker-126-augustus-gene-0.17-mRNA-1	PR00503
maker-248667-snap-gene-0.5-mRNA-1	PR00237,PR00366,PR00571
maker-54-augustus-gene-3.7-mRNA-1	PR00259
maker-2-augustus-gene-213.21-mRNA-1	PR00193
augustus_masked-7-processed-gene-20.16-mRNA-1	PR00237,PR00657,PR01106
maker-0start-snap-gene-91.0-mRNA-1	PR01415
maker-9-snap-gene-46.5-mRNA-1	PR00320
maker-25-augustus-gene-36.12-mRNA-1	PR00376
maker-16-augustus-gene-144.26-mRNA-1	PR00237,PR00238,PR00579
maker-44-snap-gene-6.5-mRNA-1	PR00821
maker-318-augustus-gene-14.18-mRNA-1	PR00654
augustus_masked-6-processed-gene-185.2-mRNA-1	PR00252,PR00253,PR01620
maker-190-snap-gene-1.1-mRNA-1	PR00169,PR01459
augustus_masked-249339-processed-gene-0.4-mRNA-1	PR00053
maker-142-snap-gene-26.17-mRNA-1	PR00662
maker-112399-augustus-gene-0.8-mRNA-1	PR01231,PR01232
maker-219-snap-gene-31.8-mRNA-1	PR00390
maker-23-augustus-gene-3.12-mRNA-1	PR00449
maker-2-augustus-gene-247.0-mRNA-1	PR01607
maker-1-augustus-gene-62.10-mRNA-1	PR00466
augustus_masked-39-processed-gene-124.11-mRNA-1	PR00205
snap_masked-249630-processed-gene-0.0-mRNA-1	PR00452
maker-16-augustus-gene-9.17-mRNA-1	PR00167,PR01630,PR01636
maker-48-augustus-gene-1.2-mRNA-1	PR00080,PR00081
maker-50-augustus-gene-0.21-mRNA-1	PR00345
augustus_masked-2-processed-gene-250.4-mRNA-1	PR00237,PR00515,PR01101
maker-70-snap-gene-16.7-mRNA-1	PR00721
maker-8-snap-gene-206.10-mRNA-1	PR00178
maker-268-augustus-gene-7.5-mRNA-1	PR00503
maker-86-augustus-gene-2.6-mRNA-1	PR01573,PR01574
maker-208-augustus-gene-2.19-mRNA-1	PR00728
maker-107-augustus-gene-2.18-mRNA-1	PR00237,PR00896,PR00897
maker-7-augustus-gene-9.1-mRNA-1	PR01869
maker-62-augustus-gene-43.2-mRNA-1	PR00503
maker-56-augustus-gene-1.0-mRNA-1	PR00391
maker-54-augustus-gene-81.10-mRNA-1	PR00449
maker-13-augustus-gene-101.8-mRNA-1	PR00023
snap_masked-95-processed-gene-7.12-mRNA-1	PR00177
augustus_masked-16-processed-gene-139.17-mRNA-1	PR00248,PR00593,PR01057
maker-49-augustus-gene-34.4-mRNA-1	PR00660
maker-464-snap-gene-3.0-mRNA-1	PR00237
augustus_masked-263-processed-gene-4.2-mRNA-1	PR01077,PR01385
maker-3-snap-gene-97.3-mRNA-1	PR00926
augustus_masked-32-processed-gene-49.0-mRNA-1	PR00449
maker-32-augustus-gene-75.9-mRNA-1	PR00328
augustus_masked-251763-processed-gene-0.1-mRNA-1	PR00466
maker-187-augustus-gene-1.6-mRNA-1	PR00987
augustus_masked-7-processed-gene-70.11-mRNA-1	PR00418,PR01158
maker-238-snap-gene-17.3-mRNA-1	PR01857,PR01858
augustus_masked-442-processed-gene-5.11-mRNA-1	PR00237,PR00246,PR00588
maker-281-snap-gene-2.18-mRNA-1	PR00722
augustus_masked-1-processed-gene-181.0-mRNA-1	PR01077
augustus_masked-16-processed-gene-33.9-mRNA-1	PR00315
maker-112892-snap-gene-1.8-mRNA-1	PR00011
augustus_masked-2-processed-gene-140.1-mRNA-1	PR00453
augustus_masked-25-processed-gene-19.13-mRNA-1	PR01333
maker-28-augustus-gene-36.3-mRNA-1	PR00627
maker-0start-augustus-gene-84.9-mRNA-1	PR00108
snap_masked-26-processed-gene-102.2-mRNA-1	PR00109
maker-130-snap-gene-2.12-mRNA-1	PR00024,PR00025
maker-68-augustus-gene-16.14-mRNA-1	PR01407
snap_masked-126-processed-gene-6.6-mRNA-1	PR00237,PR00579
maker-109-snap-gene-55.0-mRNA-1	PR00047
maker-105-augustus-gene-2.8-mRNA-1	PR00086
snap_masked-87-processed-gene-0.9-mRNA-1	PR00053
augustus_masked-2-processed-gene-172.2-mRNA-1	PR00010
maker-6-augustus-gene-45.10-mRNA-1	PR00196,PR01809
maker-78-snap-gene-6.51-mRNA-1	PR00114
maker-398-snap-gene-8.30-mRNA-1	PR00386
augustus_masked-213-processed-gene-2.43-mRNA-1	PR01612
maker-318-augustus-gene-41.8-mRNA-1	PR00321
maker-0start-augustus-gene-281.2-mRNA-1	PR00345
maker-410-snap-gene-0.5-mRNA-1	PR00449
maker-153-augustus-gene-124.4-mRNA-1	PR00452
snap_masked-32-processed-gene-141.8-mRNA-1	PR01407
maker-295-snap-gene-42.22-mRNA-1	PR00249
augustus_masked-58-processed-gene-4.32-mRNA-1	PR01084,PR01085
snap_masked-7-processed-gene-181.1-mRNA-1	PR00454
maker-31-augustus-gene-43.3-mRNA-1	PR00176,PR01195
maker-12-augustus-gene-40.6-mRNA-1	PR00081
augustus_masked-12-processed-gene-85.0-mRNA-1	PR01976
snap_masked-446-processed-gene-1.45-mRNA-1	PR01415
maker-15-augustus-gene-27.17-mRNA-1	PR00659
maker-433-augustus-gene-0.5-mRNA-1	PR00452,PR00499
maker-32-augustus-gene-126.4-mRNA-1	PR00509
augustus_masked-35-processed-gene-27.7-mRNA-1	PR00501
snap_masked-22-processed-gene-39.21-mRNA-1	PR00194
maker-70-augustus-gene-14.14-mRNA-1	PR00677
maker-10-snap-gene-69.12-mRNA-1	PR01761
maker-12-snap-gene-72.30-mRNA-1	PR00193
maker-38-augustus-gene-6.20-mRNA-1	PR00449
maker-26-snap-gene-101.3-mRNA-1	PR00328
augustus_masked-50-processed-gene-7.19-mRNA-1	PR00003
maker-387-snap-gene-1.13-mRNA-1	PR01263
maker-6-augustus-gene-176.6-mRNA-1	PR00119
maker-488-snap-gene-1.28-mRNA-1	PR00689
augustus_masked-112935-processed-gene-0.3-mRNA-1	PR00289
maker-322-augustus-gene-0.7-mRNA-1	PR00301
maker-58-snap-gene-5.6-mRNA-1	PR00399
maker-268-snap-gene-4.21-mRNA-1	PR00837
maker-399-snap-gene-3.19-mRNA-1	PR00704
maker-223-snap-gene-3.10-mRNA-1	PR00309
maker-64-augustus-gene-27.20-mRNA-1	PR00412
augustus_masked-12-processed-gene-89.18-mRNA-1	PR00385,PR00463
snap_masked-398-processed-gene-24.23-mRNA-1	PR00405
augustus_masked-32-processed-gene-216.14-mRNA-1	PR00053
maker-320-augustus-gene-5.9-mRNA-1	PR00320
maker-440-snap-gene-0.9-mRNA-1	PR00389
snap_masked-383-processed-gene-2.8-mRNA-1	PR00510
augustus_masked-0start-processed-gene-173.8-mRNA-1	PR00237,PR01855
snap_masked-15-processed-gene-213.3-mRNA-1	PR00114
maker-323-augustus-gene-61.17-mRNA-1	PR00980
augustus_masked-23-processed-gene-21.23-mRNA-1	PR01078
augustus_masked-442-processed-gene-2.6-mRNA-1	PR00190
maker-223-augustus-gene-1.21-mRNA-1	PR00193
maker-15-augustus-gene-155.11-mRNA-1	PR00320
maker-54-snap-gene-71.13-mRNA-1	PR00001,PR00018,PR00722,PR01505
maker-326-augustus-gene-0.14-mRNA-1	PR01301
maker-464-augustus-gene-7.6-mRNA-1	PR01798
maker-21-augustus-gene-45.4-mRNA-1	PR00722
maker-9-augustus-gene-73.7-mRNA-1	PR00178
snap_masked-7-processed-gene-62.4-mRNA-1	PR00937
maker-95-augustus-gene-9.57-mRNA-1	PR01035
maker-0start-snap-gene-184.15-mRNA-1	PR00080,PR00081
maker-8-augustus-gene-267.10-mRNA-1	PR00094
maker-99-augustus-gene-48.6-mRNA-1	PR00139,PR01415
maker-13-augustus-gene-206.2-mRNA-1	PR00449
maker-55-augustus-gene-10.19-mRNA-1	PR00937
maker-13-augustus-gene-91.0-mRNA-1	PR00888,PR00889
augustus_masked-248982-processed-gene-0.2-mRNA-1	PR01185
maker-112743-snap-gene-0.8-mRNA-1	PR00722
maker-472-augustus-gene-8.7-mRNA-1	PR00625
maker-14-augustus-gene-55.15-mRNA-1	PR00974
maker-15-augustus-gene-121.14-mRNA-1	PR00722
maker-16-augustus-gene-71.1-mRNA-1	PR00700
augustus_masked-243-processed-gene-10.19-mRNA-1	PR00057
maker-3-snap-gene-71.8-mRNA-1	PR00119,PR00942
maker-209-snap-gene-1.8-mRNA-1	PR01415
maker-268-snap-gene-38.13-mRNA-1	PR00449
maker-27-snap-gene-121.11-mRNA-1	PR00011
snap_masked-442-processed-gene-1.12-mRNA-1	PR01547
maker-303-augustus-gene-2.2-mRNA-1	PR00024
maker-398-augustus-gene-4.22-mRNA-1	PR00625
maker-95-augustus-gene-9.48-mRNA-1	PR00401,PR00629
maker-29-augustus-gene-101.38-mRNA-1	PR00385,PR00464,PR01689
maker-188-augustus-gene-1.9-mRNA-1	PR00194
maker-160-augustus-gene-7.9-mRNA-1	PR00252,PR00253,PR01079
snap_masked-349-processed-gene-0.25-mRNA-1	PR01347
snap_masked-18-processed-gene-115.20-mRNA-1	PR00360
snap_masked-6-processed-gene-12.0-mRNA-1	PR00177
snap_masked-197-processed-gene-18.16-mRNA-1	PR01629
augustus_masked-252-processed-gene-0.5-mRNA-1	PR01626
maker-227-augustus-gene-5.18-mRNA-1	PR00615
snap_masked-15-processed-gene-176.19-mRNA-1	PR00169,PR01491
maker-46-augustus-gene-5.11-mRNA-1	PR01407
snap_masked-303-processed-gene-4.6-mRNA-1	PR00405
augustus_masked-1-processed-gene-168.14-mRNA-1	PR01537
augustus_masked-54-processed-gene-22.1-mRNA-1	PR02072
maker-168-augustus-gene-28.10-mRNA-1	PR00205
augustus_masked-26-processed-gene-6.1-mRNA-1	PR01838
snap_masked-55-processed-gene-7.6-mRNA-1	PR00138
maker-59-snap-gene-232.1-mRNA-1	PR00661,PR00935
maker-245-augustus-gene-2.21-mRNA-1	PR00700
maker-241-snap-gene-2.28-mRNA-1	PR00047
augustus_masked-19-processed-gene-52.0-mRNA-1	PR00205
maker-181-snap-gene-6.7-mRNA-1	PR00360,PR00399
snap_masked-228-processed-gene-3.21-mRNA-1	PR01792
maker-107889-snap-gene-0.2-mRNA-1	PR00422
snap_masked-30-processed-gene-3.4-mRNA-1	PR00014
snap_masked-13-processed-gene-162.6-mRNA-1	PR02050
maker-0start-augustus-gene-368.4-mRNA-1	PR00450
maker-0start-augustus-gene-182.9-mRNA-1	PR00971
maker-105-augustus-gene-4.19-mRNA-1	PR00109
augustus_masked-25-processed-gene-72.9-mRNA-1	PR02107
snap_masked-0start-processed-gene-426.4-mRNA-1	PR00619
maker-15-augustus-gene-101.14-mRNA-1	PR00412
maker-436-augustus-gene-7.17-mRNA-1	PR00625
snap_masked-290-processed-gene-3.27-mRNA-1	PR01415
maker-22-snap-gene-10.1-mRNA-1	PR00764
maker-323-augustus-gene-57.21-mRNA-1	PR00799
snap_masked-306-processed-gene-2.6-mRNA-1	PR00007
augustus_masked-29-processed-gene-69.8-mRNA-1	PR00109
maker-323-augustus-gene-45.7-mRNA-1	PR00056
maker-56-augustus-gene-15.4-mRNA-1	PR00401,PR00700
augustus_masked-1-processed-gene-261.7-mRNA-1	PR00237
maker-186-augustus-gene-5.14-mRNA-1	PR00449
maker-172-augustus-gene-33.17-mRNA-1	PR00926,PR00928
snap_masked-440-processed-gene-0.38-mRNA-1	PR00376
snap_masked-247425-processed-gene-0.2-mRNA-1	PR00176
maker-7-augustus-gene-203.11-mRNA-1	PR01829
maker-47-augustus-gene-20.0-mRNA-1	PR01265
maker-153-augustus-gene-43.10-mRNA-1	PR00024,PR00026,PR00031
maker-105-augustus-gene-4.18-mRNA-1	PR00452
maker-389-snap-gene-0.0-mRNA-1	PR00304
maker-49-augustus-gene-43.1-mRNA-1	PR00149
snap_masked-398-processed-gene-9.5-mRNA-1	PR00011
maker-21-snap-gene-33.3-mRNA-1	PR00009
snap_masked-8-processed-gene-36.5-mRNA-1	PR01475
maker-40-snap-gene-1.34-mRNA-1	PR00633
snap_masked-151-processed-gene-6.2-mRNA-1	PR00249
augustus_masked-220-processed-gene-50.20-mRNA-1	PR00206
maker-1-augustus-gene-254.12-mRNA-1	PR00153
snap_masked-70-processed-gene-16.26-mRNA-1	PR00449
